song ID,song name,song popularity,artist name,artist id,artist genres,album name,album id,album release date,track image,artist image
spotify:track:5k8LB57xOq8UUNVaKWSqrf,Futura Free,64,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:0rsCN21VJFkoTlrnNre7SP,Little Of Your Time - Bloodshy & Avant Remix,23,Maroon 5,04gDigrS5kc9YWfZHwBETP,"pop, pop rock",Call And Response: The Remix Album,1btcxe4BlA1oqaBXQhd5zm,01/01/2008,https://i.scdn.co/image/ab67616d0000b273ae46dbb3e0cc769906fdbc48,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b
spotify:track:1eQBEelI2NCy7AUTerX0KS,Ultralight Beam,74,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, rap",The Life Of Pablo,7gsWAHLeT0w7es6FofOXk1,10/06/2016,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a
spotify:track:3eik412v96jhxQtzYlVOxL,Just Like I,28,Xenia Rubinos,17UUkxLWmRP5P47W5kwVVb,"art pop, brooklyn indie, chamber pop, escape room, lo star",Black Terry Cat,7hpaJ75FV7MYcKER1px2Uv,03/06/2016,https://i.scdn.co/image/ab67616d0000b273bff3fdf75ebebb3343b6b29d,https://i.scdn.co/image/ab6761610000e5ebb9a1be708ac8bd35b0243056
spotify:track:1biSG9VtFogOZjA5z51z41,Holy Blanket,11,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:6QEWY4F92xFNStNo2iXOdI,Bells,9,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:7mIyPiP3PqKGAAX6QeB5s6,Hands in Our Names,14,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:0GF1IBYPibdPkV2Yb7gVSD,To Carry Heavy Things Alone,9,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:6QE0TpoV7VNGJKF4jnmGO5,What Is Left?,8,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:20SNwlvjP7BIYjakhgW8TL,Ky by Bo,8,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:4sa2OgYwwdnhNdIK7b9C9k,We've Been Here Before,8,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:6FW3pxZVJHjqGCooAvPP3Z,One Moved Slowly Through This Place,6,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:0tHKk6z0OHPRRHSJgPFuVu,St. Ignacio,8,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:32fOwFJyBBDpL3rIkRKCHX,Singing City,6,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:1w2J6wawmTunuaOdQpRJDO,Indigo,9,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:2365wimhjX4S8wiEjbhXpZ,Lullaby,7,Karima Walker,2nBR0pClsF1Z2GFuC0xFbg,tucson indie,Hands in Our Names,23MHlXtpE3r4PH5DEBqfWf,24/03/2017,https://i.scdn.co/image/ab67616d0000b273f4c20ee6e37f3adbf0f8e1c3,https://i.scdn.co/image/ab6761610000e5eb17fb4a7ce47c980cdc4b7b4e
spotify:track:1ERDkO658S8cQjp8unQaH0,Celebration,10,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
