Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
46,spotify:track:05wIrZSwuaVWhcv5FfqeH0,0.0116,0.944,0.596,0.869,10,0.173,0.0678,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d,https://i.scdn.co/image/733bf3eb9178fd24dbce4a9a5ec64d0c870ea822,-11.97,0.037,109.902,238733,h
47,spotify:track:0ifSeVGUr7py5GggttDhXw,0.0476,0.962,0.811,0.879,9,1.91E-06,0.109,https://i.scdn.co/image/ab67616d0000b273344ff7c990f123679535da32,https://i.scdn.co/image/ab6761610000e5ebd19673ac57b9693ae943837e,-3.724,0.0514,134.064,188754,h
48,spotify:track:0KpfYajJVVGgQ32Dby7e9i,0.217,0.768,0.675,0.885,1,0,0.086,https://i.scdn.co/image/ab67616d0000b273706a70e4bfb15d33b8ec74a1,https://i.scdn.co/image/ab6761610000e5eb9ac5323dcebb1c7b80dcaf64,-4.432,0.0436,97.03,216667,h
49,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,0.431,0.51,0.484,0.731,1,0,0.151,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,https://i.scdn.co/image/ab6761610000e5eb1c356b8ddf90f1d4e80d9189,-6.694,0.0379,101.654,204280,h
50,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.0417,0.754,0.801,0.795,1,0.000113,0.0717,https://i.scdn.co/image/ab67616d0000b273af52c228c9619ff6298b08cd,https://i.scdn.co/image/ab6761610000e5eb6f851a3bf42183505dadb791,-5.115,0.0504,79.028,163253,h
51,spotify:track:36phXHOKx8rO7CMp2vNX4x,0.0026,0.324,0.617,0.759,0,0,0.419,https://i.scdn.co/image/ab67616d0000b273a923f5d2fed06c911c788306,https://i.scdn.co/image/ab6761610000e5eb3b575926851ffbfc337e271b,-6.785,0.0678,122.924,218773,h
52,spotify:track:7sapKrjDij2fpDVj0GxP66,0.0596,0.544,0.706,0.713,0,0,0.132,https://i.scdn.co/image/ab67616d0000b27317b3850d758fff5a2301e537,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b,-5.512,0.0301,102.037,257133,h
53,spotify:track:2MLHyLy5z5l5YRp7momlgw,0.00719,0.661,0.654,0.81,4,0.00251,0.165,https://i.scdn.co/image/ab67616d0000b2731e0dc5baaabda304b0ad1815,https://i.scdn.co/image/ab6761610000e5eb7d6493f1716643ff37ef74da,-6.26,0.0288,114.623,200307,h
54,spotify:track:1eq1wUnLVLg4pdEfx9kajC,0.138,0.507,0.73,0.77,8,0,0.0473,https://i.scdn.co/image/ab67616d0000b273ba764098164f221484bcc309,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17,-5.114,0.0298,104.948,228093,h
55,spotify:track:6e40mgJiCid5HRAGrbpGA6,0.216,0.484,0.689,0.702,6,0,0.159,https://i.scdn.co/image/ab67616d0000b273c2f0d820b1113f9a243fb973,https://i.scdn.co/image/ab6761610000e5eb8bb4e2d7bba236bf79f3c18a,-5.642,0.0261,99.031,213600,h
